TARGET,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,FL_PRESENCE_FL,OWN_AUTO,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED,FAMILY_INCOME,PERSONAL_INCOME,GEN_INDUSTRY,GEN_TITLE,JOB_DIR,WORK_TIME,INCOME
0,43,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,1,1,15000.0,7000.0,Образование,Специалист,Участие в основ. деятельности,72.0,до 10000 руб.
0,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,1,0,1,1,35000.0,19000.0,Образование,Служащий,Пр-техн. обесп. и телеком.,120.0,от 10000 до 30000 руб.
1,26,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,2,1,15000.0,18000.0,Другие сферы,Работник сферы услуг,Участие в основ. деятельности,27.0,от 10000 до 30000 руб.
1,62,0,Среднее,Гражданский брак,3,0,0,1,0,1,1,1,15000.0,7000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,48.0,до 10000 руб.
0,45,1,Среднее специальное,Разведен(а),3,1,1,0,0,0,1,1,15000.0,12000.0,Государственная служба,Рабочий,Служба безопасности,72.0,от 10000 до 30000 руб.
0,38,1,Высшее,Состою в браке,0,1,1,0,0,0,2,1,35000.0,20000.0,Государственная служба,Высококвалифиц. специалист,Участие в основ. деятельности,120.0,от 10000 до 30000 руб.
1,41,1,Высшее,Разведен(а),0,0,1,0,1,0,1,1,50000.0,60000.0,Торговля,Индивидуальный предприниматель,Участие в основ. деятельности,168.0,от 50000 до 100000 руб.
0,65,1,Среднее специальное,Состою в браке,2,0,0,1,1,0,1,1,35000.0,10000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,29,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,15000.0,5200.0,Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,8.0,до 10000 руб.
1,34,0,Среднее,Гражданский брак,0,0,1,0,0,0,1,1,50000.0,35000.0,Строительство,Рабочий,Участие в основ. деятельности,13.0,от 30000 до 50000 руб.
0,28,1,Высшее,Не состоял в браке,0,0,1,0,0,0,1,1,15000.0,15000.0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,60.0,от 10000 до 30000 руб.
0,37,1,Высшее,Состою в браке,1,1,1,0,1,0,1,1,15000.0,10000.0,Образование,Специалист,Участие в основ. деятельности,192.0,до 10000 руб.
0,42,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,15000.0,10000.0,Торговля,Специалист,Участие в основ. деятельности,76.0,до 10000 руб.
0,45,1,Высшее,Разведен(а),3,2,1,0,0,0,1,1,15000.0,14000.0,Транспорт,Специалист,Участие в основ. деятельности,120.0,от 10000 до 30000 руб.
0,32,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,1,1,15000.0,10000.0,Здравоохранение,Специалист,Участие в основ. деятельности,108.0,до 10000 руб.
0,33,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,15000.0,8000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,24.0,до 10000 руб.
0,38,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,1,1,15000.0,13000.0,Торговля,Рабочий,Участие в основ. деятельности,18.0,от 10000 до 30000 руб.
0,27,1,Высшее,Состою в браке,0,0,1,0,0,1,1,1,35000.0,12500.0,Торговля,Руководитель среднего звена,Участие в основ. деятельности,60.0,от 10000 до 30000 руб.
1,31,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,35000.0,12000.0,Другие сферы,Специалист,Участие в основ. деятельности,15.0,от 10000 до 30000 руб.
0,40,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,35000.0,20000.0,Другие сферы,Рабочий,Участие в основ. деятельности,2.0,от 10000 до 30000 руб.
0,63,1,Среднее специальное,Состою в браке,0,0,0,1,0,0,1,1,7500.0,5000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,40,1,Среднее специальное,Состою в браке,3,2,1,0,0,1,1,1,35000.0,11000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,96.0,от 10000 до 30000 руб.
0,27,0,Высшее,Состою в браке,1,1,1,0,0,0,1,1,15000.0,15000.0,Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,108.0,от 10000 до 30000 руб.
0,49,1,Среднее специальное,Не состоял в браке,2,0,1,0,0,0,1,1,7500.0,5000.0,Торговля,Рабочий,Участие в основ. деятельности,20.0,до 10000 руб.
0,29,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,1,1,35000.0,10000.0,Транспорт,Работник сферы услуг,Участие в основ. деятельности,12.0,до 10000 руб.
0,61,1,Высшее,Состою в браке,0,0,1,0,0,0,1,1,15000.0,13000.0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,96.0,от 10000 до 30000 руб.
0,43,1,Среднее специальное,Состою в браке,2,2,1,0,0,1,1,1,35000.0,30000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,12.0,от 10000 до 30000 руб.
0,38,0,Высшее,Не состоял в браке,0,0,1,0,1,0,2,2,35000.0,23000.0,Банк/Финансы,Специалист,Участие в основ. деятельности,6.0,от 10000 до 30000 руб.
0,38,0,Среднее специальное,Состою в браке,4,4,1,0,0,1,1,1,35000.0,15000.0,Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,120.0,от 10000 до 30000 руб.
0,49,0,Среднее специальное,Состою в браке,2,0,1,0,1,0,1,1,15000.0,10000.0,Ресторанный бизнес/Общественное питание,Рабочий,Участие в основ. деятельности,240.0,до 10000 руб.
0,44,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,1,1,15000.0,13000.0,Другие сферы,Руководитель высшего звена,Участие в основ. деятельности,180.0,от 10000 до 30000 руб.
0,61,1,Среднее специальное,Состою в браке,2,0,0,1,0,0,1,1,7500.0,5000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,28,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,2,2,15000.0,8000.0,Торговля,Специалист,Участие в основ. деятельности,3.0,до 10000 руб.
0,31,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1,35000.0,20000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Пр-техн. обесп. и телеком.,96.0,от 10000 до 30000 руб.
0,59,1,Среднее специальное,Состою в браке,0,0,0,1,0,0,1,1,7500.0,4000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,54,1,Высшее,Состою в браке,2,0,1,0,1,0,2,1,35000.0,8000.0,Торговля,Специалист,Участие в основ. деятельности,36.0,до 10000 руб.
0,48,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,1,1,15000.0,13000.0,Государственная служба,Специалист,Участие в основ. деятельности,144.0,от 10000 до 30000 руб.
0,24,0,Высшее,Состою в браке,0,0,1,0,0,0,1,1,50000.0,50000.0,Торговля,Специалист,Участие в основ. деятельности,30.0,от 30000 до 50000 руб.
0,48,1,Высшее,Вдовец/Вдова,0,0,1,0,1,0,1,1,35000.0,15000.0,Образование,Высококвалифиц. специалист,Участие в основ. деятельности,132.0,от 10000 до 30000 руб.
0,43,1,Неоконченное высшее,Разведен(а),1,1,1,0,0,0,2,1,35000.0,20000.0,Образование,Специалист,Участие в основ. деятельности,72.0,от 10000 до 30000 руб.
0,23,0,Среднее специальное,Состою в браке,1,1,1,0,0,1,1,1,35000.0,18000.0,Строительство,Специалист,Участие в основ. деятельности,30.0,от 10000 до 30000 руб.
0,54,1,Среднее специальное,Не состоял в браке,2,0,1,0,0,0,1,1,50000.0,40000.0,Торговля,Работник сферы услуг,Участие в основ. деятельности,120.0,от 30000 до 50000 руб.
0,37,0,Среднее,Состою в браке,1,1,1,0,0,1,1,1,15000.0,10000.0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,14.0,до 10000 руб.
0,47,1,Высшее,Состою в браке,0,0,1,0,1,0,1,1,35000.0,20000.0,Строительство,Высококвалифиц. специалист,Участие в основ. деятельности,14.0,от 10000 до 30000 руб.
0,52,1,Высшее,Состою в браке,1,1,0,1,0,0,2,2,15000.0,5700.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,24,0,Среднее,Состою в браке,0,0,1,0,0,0,2,2,15000.0,15000.0,Строительство,Специалист,Участие в основ. деятельности,36.0,от 10000 до 30000 руб.
0,48,1,Среднее,Не состоял в браке,0,0,1,0,1,0,1,1,15000.0,11000.0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,324.0,от 10000 до 30000 руб.
0,58,0,Среднее специальное,Состою в браке,2,0,0,1,0,0,1,1,15000.0,9000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,34,1,Высшее,Не состоял в браке,0,0,1,0,0,0,1,1,35000.0,9000.0,Образование,Специалист,Участие в основ. деятельности,29.0,до 10000 руб.
0,31,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,2,1,35000.0,12800.0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,от 10000 до 30000 руб.
0,31,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,35000.0,20000.0,Торговля,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 30000 руб.
1,35,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,1,1,15000.0,15000.0,Торговля,Рабочий,Участие в основ. деятельности,24.0,от 10000 до 30000 руб.
0,54,1,Высшее,Состою в браке,2,0,0,1,0,0,1,1,15000.0,10000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,35,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,35000.0,15000.0,Здравоохранение,Специалист,Участие в основ. деятельности,72.0,от 10000 до 30000 руб.
0,61,1,Среднее специальное,Состою в браке,2,0,0,1,0,0,1,1,15000.0,5500.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,52,0,Среднее,Состою в браке,0,1,1,0,0,0,1,1,15000.0,7000.0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,360.0,до 10000 руб.
1,34,0,Среднее,Состою в браке,2,2,1,0,0,0,1,1,15000.0,6000.0,Металлургия/Промышленность/Машиностроение,Служащий,Участие в основ. деятельности,180.0,до 10000 руб.
0,44,0,Неполное среднее,Гражданский брак,3,3,1,0,0,0,1,1,15000.0,11000.0,Государственная служба,Рабочий,Пр-техн. обесп. и телеком.,108.0,от 10000 до 30000 руб.
0,63,1,Неполное среднее,Состою в браке,2,0,0,1,0,0,1,1,7500.0,4800.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,30,0,Среднее специальное,Разведен(а),0,0,1,0,0,0,1,1,35000.0,30000.0,Транспорт,Рабочий,Участие в основ. деятельности,48.0,от 10000 до 30000 руб.
0,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1,7500.0,5300.0,Другие сферы,Специалист,Участие в основ. деятельности,36.0,до 10000 руб.
0,35,1,Высшее,Не состоял в браке,0,0,1,0,1,0,1,1,50000.0,50000.0,Государственная служба,Специалист,Участие в основ. деятельности,4.0,от 30000 до 50000 руб.
0,48,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,1,1,15000.0,11000.0,Сельское хозяйство,Специалист,Участие в основ. деятельности,120.0,от 10000 до 30000 руб.
0,48,1,Среднее специальное,Состою в браке,2,0,1,0,1,0,1,1,15000.0,11000.0,Сельское хозяйство,Специалист,Участие в основ. деятельности,120.0,от 10000 до 30000 руб.
0,29,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1,35000.0,11700.0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,96.0,от 10000 до 30000 руб.
0,30,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,15000.0,8000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Вспомогательный техперсонал,60.0,до 10000 руб.
0,31,1,Среднее,Состою в браке,1,1,1,0,1,0,2,2,15000.0,5000.0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,24.0,до 10000 руб.
0,51,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,1,1,15000.0,7500.0,Страхование,Специалист,Участие в основ. деятельности,60.0,до 10000 руб.
0,47,0,Среднее специальное,Состою в браке,2,1,1,0,1,1,2,2,35000.0,18000.0,Другие сферы,Руководитель среднего звена,Участие в основ. деятельности,252.0,от 10000 до 30000 руб.
0,26,0,Неоконченное высшее,Не состоял в браке,0,0,1,0,0,0,1,1,7500.0,8000.0,Государственная служба,Специалист,Участие в основ. деятельности,24.0,до 10000 руб.
0,44,0,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1,35000.0,20000.0,Нефтегазовая промышленность,Специалист,Участие в основ. деятельности,120.0,от 10000 до 30000 руб.
1,33,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1,15000.0,10000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,12.0,до 10000 руб.
0,35,1,Высшее,Не состоял в браке,0,0,1,0,0,0,1,1,15000.0,9000.0,Банк/Финансы,Специалист,"Бухгалтерия, финансы, планир.",28.0,до 10000 руб.
0,51,1,Среднее специальное,Вдовец/Вдова,1,0,1,0,1,0,1,1,15000.0,11000.0,Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,300.0,от 10000 до 30000 руб.
0,43,1,Высшее,Состою в браке,1,1,1,0,0,0,2,2,35000.0,15000.0,СМИ/Реклама/PR-агенства,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",12.0,от 10000 до 30000 руб.
0,35,0,Среднее специальное,Не состоял в браке,1,1,1,0,0,1,1,1,15000.0,15000.0,Транспорт,Специалист,Участие в основ. деятельности,4.0,от 10000 до 30000 руб.
1,27,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1,15000.0,10000.0,Торговля,Рабочий,Участие в основ. деятельности,12.0,до 10000 руб.
0,54,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,1,1,35000.0,15000.0,Сельское хозяйство,Руководитель среднего звена,Участие в основ. деятельности,36.0,от 10000 до 30000 руб.
0,28,1,Неполное среднее,Состою в браке,1,1,1,0,0,0,1,1,35000.0,8000.0,Ресторанный бизнес/Общественное питание,Специалист,Участие в основ. деятельности,12.0,до 10000 руб.
0,53,0,Среднее специальное,Состою в браке,2,0,1,0,0,1,1,1,35000.0,25000.0,Другие сферы,Специалист,Участие в основ. деятельности,72.0,от 10000 до 30000 руб.
0,29,1,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1,15000.0,11000.0,Другие сферы,Рабочий,Участие в основ. деятельности,12.0,от 10000 до 30000 руб.
0,59,1,Высшее,Разведен(а),1,0,1,0,0,0,1,1,15000.0,8500.0,Образование,Рабочий,Вспомогательный техперсонал,48.0,до 10000 руб.
0,56,0,Среднее специальное,Состою в браке,3,0,1,0,0,0,1,1,15000.0,4000.0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,24.0,до 10000 руб.
0,37,1,Среднее,Состою в браке,3,3,1,1,1,0,2,1,35000.0,15000.0,Другие сферы,Рабочий,Участие в основ. деятельности,192.0,от 10000 до 30000 руб.
0,51,0,Среднее специальное,Состою в браке,1,0,1,0,0,0,1,1,15000.0,8000.0,Другие сферы,Работник сферы услуг,Участие в основ. деятельности,196.0,до 10000 руб.
0,63,0,Среднее,Состою в браке,1,0,1,0,0,0,1,1,15000.0,10000.0,Государственная служба,Рабочий,Участие в основ. деятельности,24.0,до 10000 руб.
0,31,0,Высшее,Состою в браке,0,0,1,0,0,0,1,1,35000.0,18000.0,Энергетика,Руководитель низшего звена,Снабжение и сбыт,94.0,от 10000 до 30000 руб.
0,58,0,Высшее,Состою в браке,3,1,1,0,0,0,1,1,35000.0,15000.0,Строительство,Руководитель высшего звена,Участие в основ. деятельности,108.0,от 10000 до 30000 руб.
0,48,0,Среднее специальное,Состою в браке,2,0,1,0,0,0,1,1,15000.0,12000.0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,25.0,от 10000 до 30000 руб.
0,37,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,15000.0,7300.0,Здравоохранение,Другое,Участие в основ. деятельности,190.0,до 10000 руб.
0,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,1,1,35000.0,25000.0,Сельское хозяйство,Специалист,"Бухгалтерия, финансы, планир.",348.0,от 10000 до 30000 руб.
0,52,1,Среднее специальное,Не состоял в браке,0,0,1,0,1,0,1,1,15000.0,8000.0,Другие сферы,Рабочий,Вспомогательный техперсонал,96.0,до 10000 руб.
0,37,0,Среднее специальное,Разведен(а),0,0,1,0,0,1,1,1,15000.0,12000.0,Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,120.0,от 10000 до 30000 руб.
0,22,0,Среднее специальное,Не состоял в браке,1,0,1,0,0,0,1,1,15000.0,8000.0,Другие сферы,Специалист,Участие в основ. деятельности,10.0,до 10000 руб.
0,36,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1,35000.0,10000.0,Торговля,Служащий,Участие в основ. деятельности,205.0,до 10000 руб.
0,37,0,Среднее,Состою в браке,1,1,1,0,0,0,1,1,15000.0,14500.0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,62.0,от 10000 до 30000 руб.
0,63,0,Среднее специальное,Состою в браке,2,0,0,1,0,0,1,1,7500.0,5000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,26,0,Высшее,Не состоял в браке,0,0,1,0,1,0,2,1,15000.0,10000.0,Государственная служба,Специалист,Участие в основ. деятельности,14.0,до 10000 руб.
1,57,1,Среднее специальное,Состою в браке,0,0,0,1,0,0,1,1,15000.0,3000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
1,57,1,Среднее специальное,Состою в браке,0,0,0,1,0,0,1,1,15000.0,3000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,45,1,Среднее,Не состоял в браке,1,1,1,0,0,0,1,1,15000.0,5000.0,Сельское хозяйство,Рабочий,Участие в основ. деятельности,12.0,до 10000 руб.
0,22,0,Среднее специальное,Состою в браке,1,2,1,0,0,0,1,1,15000.0,12000.0,Энергетика,Рабочий,Участие в основ. деятельности,19.0,от 10000 до 30000 руб.
0,57,0,Среднее,Не состоял в браке,0,0,1,1,0,1,1,1,35000.0,30000.0,Другие сферы,Рабочий,Участие в основ. деятельности,48.0,от 10000 до 30000 руб.
0,57,0,Среднее специальное,Состою в браке,0,0,0,1,0,0,1,1,15000.0,6000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,39,0,Высшее,Состою в браке,2,2,1,0,0,0,1,1,35000.0,27000.0,Государственная служба,Военнослужащий по контракту,Участие в основ. деятельности,180.0,от 10000 до 30000 руб.
0,37,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1,35000.0,9000.0,Здравоохранение,Работник сферы услуг,Участие в основ. деятельности,120.0,до 10000 руб.
0,41,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,1,1,1,15000.0,18000.0,Другие сферы,Высококвалифиц. специалист,Участие в основ. деятельности,252.0,от 10000 до 30000 руб.
0,34,0,Среднее специальное,Состою в браке,2,2,1,0,0,0,2,2,15000.0,6000.0,Образование,Служащий,Участие в основ. деятельности,24.0,до 10000 руб.
0,44,0,Среднее специальное,Состою в браке,1,0,1,0,0,1,1,1,35000.0,15000.0,Строительство,Служащий,Вспомогательный техперсонал,36.0,от 10000 до 30000 руб.
0,38,0,Среднее специальное,Состою в браке,1,1,1,0,1,0,1,1,35000.0,13500.0,Государственная служба,Служащий,Служба безопасности,120.0,от 10000 до 30000 руб.
0,40,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1,15000.0,6500.0,Образование,Специалист,Участие в основ. деятельности,120.0,до 10000 руб.
0,40,0,Среднее специальное,Состою в браке,2,2,1,0,1,1,1,1,35000.0,14000.0,Нефтегазовая промышленность,Специалист,Пр-техн. обесп. и телеком.,156.0,от 10000 до 30000 руб.
0,27,1,Неоконченное высшее,Состою в браке,1,1,1,0,0,1,1,1,35000.0,15000.0,Строительство,Руководитель низшего звена,Участие в основ. деятельности,16.0,от 10000 до 30000 руб.
0,29,0,Высшее,Состою в браке,1,1,1,0,0,0,1,1,35000.0,20000.0,Государственная служба,Специалист,Участие в основ. деятельности,84.0,от 10000 до 30000 руб.
0,28,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1,35000.0,10000.0,Банк/Финансы,Служащий,Участие в основ. деятельности,12.0,до 10000 руб.
0,41,1,Среднее специальное,Не состоял в браке,2,1,1,0,1,0,1,1,15000.0,8600.0,Сельское хозяйство,Служащий,Участие в основ. деятельности,38.0,до 10000 руб.
0,39,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,35000.0,35000.0,Торговля,Рабочий,Участие в основ. деятельности,72.0,от 30000 до 50000 руб.
0,43,0,Среднее,Состою в браке,0,0,1,0,0,1,1,1,35000.0,15000.0,Транспорт,Специалист,Участие в основ. деятельности,144.0,от 10000 до 30000 руб.
0,57,1,Среднее специальное,Вдовец/Вдова,0,0,0,1,1,0,2,2,7500.0,8000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,50,1,Высшее,Состою в браке,0,0,1,0,0,0,1,1,35000.0,15000.0,Образование,Специалист,Участие в основ. деятельности,216.0,от 10000 до 30000 руб.
0,38,0,Среднее,Состою в браке,4,4,1,0,1,1,3,2,35000.0,38000.0,Металлургия/Промышленность/Машиностроение,Специалист,Участие в основ. деятельности,36.0,от 30000 до 50000 руб.
0,51,1,Среднее специальное,Разведен(а),0,0,1,0,1,0,1,1,35000.0,25000.0,Другие сферы,Специалист,Участие в основ. деятельности,72.0,от 10000 до 30000 руб.
1,54,1,Среднее специальное,Не состоял в браке,1,1,1,0,1,0,1,1,35000.0,11000.0,Транспорт,Рабочий,Участие в основ. деятельности,15.0,от 10000 до 30000 руб.
0,35,1,Высшее,Состою в браке,1,1,1,0,0,0,1,1,35000.0,15000.0,Салоны красоты и здоровья,Специалист,Участие в основ. деятельности,70.0,от 10000 до 30000 руб.
0,27,1,Высшее,Состою в браке,2,2,1,0,0,0,1,1,35000.0,10000.0,Торговля,Работник сферы услуг,Участие в основ. деятельности,10.0,до 10000 руб.
0,48,1,Неполное среднее,Состою в браке,2,0,1,0,1,0,1,1,15000.0,6000.0,Другие сферы,Рабочий,Участие в основ. деятельности,24.0,до 10000 руб.
0,50,1,Среднее специальное,Состою в браке,0,0,1,0,0,0,1,1,35000.0,12000.0,ЧОП/Детективная д-ть,Специалист,Участие в основ. деятельности,48.0,от 10000 до 30000 руб.
0,41,1,Среднее специальное,Состою в браке,2,2,1,0,0,0,1,1,7500.0,5000.0,Другие сферы,Служащий,Участие в основ. деятельности,228.0,до 10000 руб.
0,42,1,Неоконченное высшее,Состою в браке,1,1,1,0,1,0,2,2,15000.0,10000.0,Коммунальное хоз-во/Дорожные службы,Рабочий,Участие в основ. деятельности,126.0,до 10000 руб.
0,29,0,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,15000.0,6200.0,Государственная служба,Рабочий,Участие в основ. деятельности,3.0,до 10000 руб.
0,27,0,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1,35000.0,10000.0,Коммунальное хоз-во/Дорожные службы,Специалист,Участие в основ. деятельности,24.0,до 10000 руб.
0,40,0,Высшее,Состою в браке,2,2,1,0,1,0,1,1,35000.0,20000.0,Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",24.0,от 10000 до 30000 руб.
0,29,1,Среднее специальное,Не состоял в браке,0,0,1,0,0,0,1,1,15000.0,15000.0,Торговля,Высококвалифиц. специалист,"Бухгалтерия, финансы, планир.",18.0,от 10000 до 30000 руб.
0,53,1,Среднее,Разведен(а),0,0,1,0,0,0,1,1,7500.0,6000.0,Ресторанный бизнес/Общественное питание,Рабочий,Вспомогательный техперсонал,120.0,до 10000 руб.
0,46,0,Высшее,Состою в браке,1,0,1,0,0,0,1,1,15000.0,8000.0,Другие сферы,Специалист,Вспомогательный техперсонал,48.0,до 10000 руб.
0,57,1,Среднее специальное,Вдовец/Вдова,2,0,0,1,0,0,1,1,15000.0,7000.0,На пенсии,На пенсии,На пенсии,0.0,до 10000 руб.
0,32,1,Среднее специальное,Не состоял в браке,1,1,1,0,0,0,1,1,15000.0,10500.0,Металлургия/Промышленность/Машиностроение,Рабочий,Участие в основ. деятельности,60.0,от 10000 до 30000 руб.
0,56,1,Среднее специальное,Состою в браке,0,0,1,0,1,0,1,1,35000.0,170000.0,Другие сферы,Специалист,Участие в основ. деятельности,120.0,от 100000 до 250000 руб.
0,51,1,Среднее специальное,Состою в браке,0,0,1,1,0,0,1,1,15000.0,15000.0,Здравоохранение,Рабочий,Участие в основ. деятельности,312.0,от 10000 до 30000 руб.
0,31,1,Высшее,Разведен(а),2,2,1,0,1,0,1,1,15000.0,15000.0,Развлечения/Искусство,Специалист,"Бухгалтерия, финансы, планир.",28.0,от 10000 до 30000 руб.
0,51,1,Среднее специальное,Состою в браке,2,0,1,0,0,0,1,1,15000.0,10000.0,Государственная служба,Руководитель среднего звена,Участие в основ. деятельности,42.0,до 10000 руб.
0,43,1,Среднее специальное,Состою в браке,1,1,1,0,0,0,1,1,15000.0,8000.0,Здравоохранение,Специалист,Участие в основ. деятельности,360.0,до 10000 руб.
